,reviews_classified_all
0,eu abaixei o aplicativo do banco nubanke ate agora eu nao recebi nenhuma resposta eu fiz cadastro pra fazer um cartao de credito e pra fazer um emprestimo e eu nao recebi nenhuma resposta
1,melhor desse brasil
2,fiz a conta mas tem mais de 2 dias que o aplicativo fica estamos revisando suas informacoes dizendo que leva 1 hora
3,otimo aplicativo parabens
4,gostei muito do apk simples rapidofacil e resolve tudo porem nao consigo entender porque nao aumentam o meu limite ja que uso a tanto tempo e sempre paguei em dias as minhas faturas
5,limite baixo demais libera r5000 pede aumento e nunca libera nada
6,pra mim esse aplicativo e otimo mais no meu limite veio zero porque
7,otimo
8,otimo
9,excelente
10,da uma 1 hora pra avalia dados mais de 30 dias esperando e nada esperava mais desse aplicativo por enquanto so pegou meus dados porque conta nada
11,cartao otimo pena que perdi o meu
12,otimo muito bom um dos melhores nubank
13,so faltou a analise de credito que nunca sai a nao ser 028 centavos
14,melhor cartao que eu estou usando estou feliz demais super indico
15,melhor banco que ja vi esta de parabens so que eu queria 5 mil de emprestimo
16,vou esperar meu cartao aqui valeu
17,infelizmente nao chega notificacao na tela inicial do meu celular so consigo visualizar algo como por exemplo se recebi um pix ou transferencia se eu entrar no aplicativo com senha ja verifiquei todas as opcoes possiveis fiz troca do aparelho e nada entrei em contato e ate o momento nao conseguiram resolver
18,coloquem opcao pra abrir um pdf de boleto as vezes preciso pagar com qr code e preciso mandar a conta pra outro celular
19,o aplicativo e otimo so faltou um cartao de credito
20,ele e um cartao otimo recomendo
21,para mim otimo
22,nao to conseguindo cadastrar a chave pix aparece a mensagem de erro
23,queria saber se ele ativa pra credito
24,o aplicativo e de facil acessomas nao consigo emprestimo
25,tenho conta nesse banco mas deixei de usar porque a gente e muito umilhado pago tudo em dia ate adiantado e meu cartao de credito nao sai de 50 reais nao estou passando fome nubank to fora
26,tinha o cartao de credito nubank e conta mas me ofereceram um imprestimo pre aprovado e nao conseguir contratar sendo que estava pre aprovado e cancelei o cartao agora nao consigo ter novamente o cartao so a conta que quase nem uso somente usava o cartao
27,um otimo banco
28,otima
29,otima
30,otimo gostei muito
31,otimo
32,aplicativo excelente muito bom otimo em tudo
33,o aplicativo e otimo so acho que poderia aumentar o limite movimento a conta praticamente todos os dias e ate agora nao me deram um limite bom meu credito e te 70 reais nem sei o que comprar com esse valor
34,estou tentando fazer o meu cartao
35,nao consigo acessar minha conta toda vez que tento o aplicativo fecha sozinho ja desinstalei ja limpei os dados mais nada resolve me ajudem com isso
36,limite de credito incompativel com a minha renda a 2 anos
37,pouco a liberacao de credito o wilbank ta melhor
38,otimo aplicativo
39,otimo este aplicativo e de mais excelente muito raro ver um aplicativo assim valeu e agradeco a todda a equipe do nubank e pela a sua existencia abracos
40,cancelando minha conta e cartooo
41,o melhor banco do brasil nubank esta em 1 lugar aqui em casa samos 8 e samos todos nubank
42,o melhor de todos ate agora
43,muito boa muito facil e muito platico de usar
44,levou um dia pra enviar um pix e esta demorando pra cair a recarga do celular que eu fiz
45,banco e otimo minha unica experiencia negativa e a analise de limite e credito movimento mais de r300000 por mes na conta e ate agora nao tive liberacao de credito e muito menos emprestimo amo demais o banco mas minha decepcao e grande que estou pensando em mudar de banco
46,acabei de abrir a conta e contratar o cartao de credito aprovou rapido gosto da forma que voces se comunicam com o publico ouco falar muito bem de voces espero ter tambem uma experiencia boa principalmente por ser a primeira vez que vou usar um cartao de credito depois de avaliar muitas instituicoes depois volto aqui pra contar mais da minha experiencia
47,gosto muito da nubank mais atualmente o meu cartao ta dando erro quando passo na maquiniha ou ate mesmo por aproximacao mim ajudem
48,cartao muito bom
49,aplicativo excelente estou adorando espero indicar a todos meus amigos
50,amoooooo simples pratico facil
51,o nubank ja nao ta bom quero usar o limite dele pra paga uma conta ele nao ta liberado esse cartoe so ta mim enchendo o saco lixo
52,otimo aplicativo eu recomendo
53,alguem sabe me informar se eles dao o cartao de graca vou tentar fazer uma conta digital com a nubank
54,otima
55,na minha familia todos tem so faltava eu acabei de abrir minha conta oba
56,a pessoa ja faz um cartao do banco pra ele vir com credito mais nao eles mandam você adicionar dinheiro da sua conta pra virar um cartao de credito qual e a logica disso vai ficar na gaveta eternamente e nao vou nem desbloquear tomara que outras pessoas leiam esse comentario antes de abrir essa conta
57,excelente
58,agora sim eu ganhei limite eu so queria mas
59,nubank minha conta simplesmente nao e aprovada fica naquela espera de ate 1 hora mas ja faz um mes
60,aplicativo e maravilhoso muito facil de ultilizar ameiiii
61,nao entendi coloquei dinheiro na conta pra usar credito a vista o valor foi debitado na hora mas agora voces me mandaram um boleto pra pagar pra onde que foi o dinheiro que foi debitado
62,o unico cartao que me deu creditovou zelar por elea puc mandou meu nome pro serasa depois abandonei o curso de direirono valor de 77 mil pro fies
63,otimo
64,um excelente aplicativo
65,e copiar e colar mas nunca consegui pagar minha operadora com o pix copia e colar sempre tenho que usar outro banco
66,muito bom so nao ganhou as cinco estrelas porque eu nao consigo aumentar meu limite
67,e otimo mais porque nao esta dando certo minha aprovacao
68,muito pratico
69,muito top otimas funcionalidades tudo muito facil e acessivel a todos
70,o limite que eles liberam e ridiculo pago minhas faturas a meses sempre antes do vencimento e eles nao aprovam meu aumento e ridiculo isso
71,aplicativo otimo banco com muitas facilidades
72,otimanunca tive problemas com o appotimo pra usar
73,pessoa faz um cartao limite e are 200 voce cansa de pedir aumento e so e negado
74,minhas amigas que tem falam que esse cartao e 10 oi
75,otimo
76,muito bom aplicativo cartao
77,legal ja recebi ate o cartao parabens obrigada por mim enviar o cartao ja fiz ate comprar indico a todos vcs a pedir o cartao pelo aplicativo nubank sensacional
78,amei o cartaogostei do limite e espero que continue aumentando meu limite
79,o cartao e otimo porem mesmo pagando tudo em dias ele tem um pouco de dificuldade para aumentar o limite
80,fiz o cartao porem nao veio cm limites de credito
