,reviews_classified_all
0,pessimo banco recebi um bloqueio do nada por simplesmente usar a conta e ainda prendem meu dinheiro
1,decepcionada chateadissimaaaaaa de inicio achei excelente a aquisicao do cartao sem as burocracias normais que algumas instituicoes financeiras exigem estava amando a praticidade do cartao ate me deparar com a inexplicavel situacao constrangedora de bloqueio por falta de pagamento a fatura vence dia 16 efetuei o pagamento bem antes da data 07 e foi comprovado o recebimento pela intuicao no dia 08 no proprio aplicativo aparece a confirmacao do pagamento e ainda assim meu carta foi bloqueado
2,nao passa pix via dados bancarios e nem pra chave aleatoria
3,pessimo o aplicativo so deixa voce usar se tiver senha de bloqueio no seu celular o aplicativo deveria ter o proprio bloqueio independente do celular
4,nao to conseguindo cadastrar a chave pix aparece a mensagem de erro
5,oi bom dia tudo bem que voce que nubank cdb e chaves pix emailcelularescpf conta tem ja voce estranho um so real jogos de ganhar dinheiro real
6,quero desn bloqueiar
7,parabens pelo aplicativo maravilhoso so nao gostei que mesmo meu cpf nao sendo a chave pix quando mando ele pra tranferir pra outra conta sempre aparece a do nubank
8,porque eu nao consigo colar a chave pix no momento de enviar
9,ja estava na hora de ter no aplicativo o token pinformar na ura sugeri isso ha 4 anos e naaaada podia tb ter opcao de bloqueio temporario do disponivel em conta corrente e nao so no cartao
10,e pessimo bloqueio meu aplicativo nao consigo tirar meu dinheiro
11,tenho 2 reclamacoes 1 tiraram a opcao de bloqueio de cartao no aplicativo 2 nao aumentam meu limitesendo que eu nunca atrasei o pagamento e nunca parcelei a fatura total
12,cara porque que tiraram a opcao de fazer pix com o numero de celular botem de novo pfvr e se tiverajeita porque esta muito escondida a opcao de pix com a chave pix por numero de celularobgd
13,pra quem nao ta ligado como e golpe do pix fica aqui o aviso voce transfere um dos valores abaixo pra chave pix ce459992517d40bda9c9e9f987652964 espera 5 minutos pra receber o valor correspondente na sua conta nao recebe e faz uma thread xingando o nubank testem agora httpstcojlcsnp8g1y
14,botei o bloqueio de aplicativo na xiaomi espero nao cair no golpe do nubank
15,a opcao pix ta uma chaticevoce coloca o pix e ainda tem que saber que instituicao e se a pessoa te passou a chave pix so tem que confirmar o nomeagora aparece varios nomes de instituicaoantes nao tinha essa chatice
16,nao consigo concluir meu cadastro porque nao estou recebendo o sms para validar meu celular nas chaves pix
17,ao pressionar para colar a chave do pix o aplicativo demora para acionar a opcao de colar sendo necessario apertar varias vezes para chamar o comando
