,reviews_classified
0,faz alguns dias que nao consigo acessar o aplicativo pede a senha do celular digito e nada ja desistalei muitas vezes e ja cadastrei varias vezes o celular e nada
1,infelizmente nao chega notificacao na tela inicial do meu celular so consigo visualizar algo como por exemplo se recebi um pix ou transferencia se eu entrar no aplicativo com senha ja verifiquei todas as opcoes possiveis fiz troca do aparelho e nada entrei em contato e ate o momento nao conseguiram resolver
2,nao consigo acessar minha conta toda vez que tento o aplicativo fecha sozinho ja desinstalei ja limpei os dados mais nada resolve me ajudem com isso
3,nao consigo mais acessar meu aplicativo
4,eu abaixe a aplicativo fiz o catrasto mais esta demorando para mim responderem por email aida nao mandarao a senha para eu entra no aplicativo
5,bom muito so que eu em entrei no aplicativo mais dezes talei sem querer esquesir a senha
6,eu estou com problemas para abrir o aplicativo quando eu abro pede a senha e uso a digital mas o aplicativo volta no inicio e pede a senha de novo e fica assim o aplicativo nao abre pra usar eu tenho que sair da conta e logar de novo isso e chato e cansativo
7,o aplicativo nao abre ja faz uns meses que eu tento acessar minha conta mas o aplicativo nao abre
8,ruim de acesso continua dificil
9,depois dessa atualizacao o aplicativo ficou a desejar esta muito lento nao abre de maneira nenhuma pede senha pra acessar a mesma de desbloqueio do aparelho coloca e nada nao abre nao sai da tela inicial carrega pede pra repetir a senha e nada estou sendo prejudicado antes era lento mae abria perfeitamente o aplicativo gente ageita isso ta horrivel o acesso se pudesse da zero estrelas eu daria era muito melhor a versao antiga ta ruim o acessome ajudem pretendo acessar o aplicativo
10,estou dano uma estrela porque agente coloca a senha 13 vcs para entrar no aplicativo a senha e correta mais ele pede varias vcs para entrar no aplicativo
11,ja tenho uma conta quero muito recuperar minha senha
12,nao consigo abrir o aplicativo atualizei e nao sai da parte de desbloquear o aplicativo com a senha do celular coloco e volta pra mesma pagina
13,excelente aplicativo de facil acesso
14,eu nao estou conseguindo entrar no aplicativo pela senha
15,nao consigo abrir esse aplicativo porque pede a senha do meu aplicativo e quando coloco a opcao esqueci senha nao nao chega nenhum email o que fazer sobre isso
16,pessoas maravilhosas como vcs me faz mudar de ideia de uma hora pra outravcs e muito eficientes ja estou com o problema solucionadoalmentei minha estrelas pois se tivesse mas daria so o aplicativo que as vezes nao aceita entrarso que entrar com a senha do celulare as vezes nao entra tambemmas sei que vai dar tudo certo obrigada por tudojesus cristo guarde e proteja a todos nos de todo mal🥰 cabo frio14052022 cleide santos de oliveira
