,reviews_classified2
0,de que adianta ter um aplicativo se qualquer coisinha que voce faz o banco cancela sua assinatura eletronica se eu quisesse ir na agencia resolver as coisas eu nao baixava aplicativo para ser ruim precisa melhorar muito ainda pessimo servico
1,amo esse aplicativo so nao gostei de ter que cadastrar a assinatura eletronicaou senha eletronicaso la no caixa economica pessoalmenteem pleno pandemia era pra fazer via internet
2,e bom mas cometeu um erro grave comigo em um tev pediu a assinatura eletronica e automaticamente confirmou o destino sem minha autorizacao em equivoco foi feito um pagamento indevido e o gerente da minha conta fez um pedido ao gerente final mas sem esperanca de retorno teria que recorrer as pequenas causasno aplicativo do bradesco funciona assim ele pergunta depois da assinatura e essa pessoa o destinatario você olha e confirma esse da caixa apresentou o receptor depois de concluido
3,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
4,o aplicativo estava bom mas agora nao da pra fazer nada nele inves de adquirir novas funcionalidade pra ajudar as pessoas nao voces simplesmente piora tudo pois nem saldo da pra ve se nao fizer uma assinatura eletronica que melhora isso pode proporcionar existem pessoas que nao podem ir num caixa eletronico porque na cidade nao tem aqui por exemplonao tem pra fazer isso preciso ir pra outra cidade porque aqui nao tem poxa o aplicativo usava muito e agora tive que desinstala
5,tenho uma conta moro em uma cidade a mais de 300km da agencia para desbloquear o aplicativo tive que ir a agencia e agora so da assinatura bloqueada
6,pessimo aplicativo um lixo tive que reinstala e ai tenho que fazer tudo de novo inclusive ir no caixa fazer minha assinatura eletronica de novo e um lixo mesmo ta doido como pode ser coisa para o povo se e um lixo desse nao precisa me mandar mensagem nao porque minha opiniao nao vai mudar nao sou obrigada a ficar indo em agencia desbloquear nada toda hora sai fora vou mandar cancelar essa conta
7,o meu problema e com o pix minha cidade nao tem caixa eletronico e nao tem com eu ir e outra cidade desbloquear a assinatura eletronica voces tem que ver isso ai fica dificil
8,foi muito bom agora esta pessimo nao consigo fazer nada tem que ir no caixa eletronico desbloquear assinatura toda vez da erro cansada da caixa nao consigo fazer nada em um momento tao dificil para mim agora o aplicativo esta otimo
10,o aplicativo e muito ruim toda hora instavel toda hora da erro de autenticacao biometrica tem que melhorar muito
