,reviews_classified_all
0,o aplicativo ate que e bomacho ruim so pra cadastrar senha eletronica do pixdeveria resolver no aplicativo sem precisar ir na agenciatirando isso tudo certo
1,excelente aplicativo de facil acesso e operacional
2,por favor alguem pode me ajudar faz um mes que nao consigo acessar minha conta so da erro 02 20 e quando tento fazer um novo usuario ficar aparecendo erro 403 eu ja liguei na central e nao resolvem e ja desistalei o aplicativo e nada por favor preciso usar o aplicativo e essa nao e a primeira vez que isso acontece
3,muito bom o aplicativo so me estresso as vezes sobre a senha eletronica quero mudar porque esqueci e nao posso dar senha bloqueada sei que e uma seguranca mais se e a pessoa que estar usando concerteza quer mudar porque esqueci
4,voces para mim sao asquerosos e repugnantes tenho nojo de preguicosos e e o que voces sao maltratam a populacao nas agencias abarrotadas e sem acomodacao para todos que ficam la 234 horas ontem 26042022 estive na agencia 1502 da clsw 504 sudoeste e informo ao preposto que veio aqui responder que voce deveria ir a esta agencia e ver o tamanho da arrogancia e preguica dos seus colegas que la fingem trabalhar cheguei la as 1115 e sai as 1330para encerrar uma miseravel conta poupanca voces nao respeitam a lei distrital 2547 de 2000 que estipula 30 minutos de permanencia maxima na fila em dias de pico e 20 minutos em dias normaise ainda tem aquelas portas giratorias para causar mais contrangimentos ao cidadao voce preposto deveria conhecer a lei 13294 de 2016 que fala que voces tem 10 dias a partir do encerramento para emitir a carta de quitacao e eu ja o fiz no inicio deste mes jamais voltarei a uma agencia maldita desta caixa prefiro morrer de cancer retal a conversar ou ter qualquer relacionamento com gente ruim e preguicosa cara vem aqui conhece a lei e nao dispensa ao cidadao os documentos que ele pede por isto nao devo respeito a caixa economica federal pois prevarica e age com desidia desobedecendo duas leis uma distrital outra federal a carta de quitacao de debitos nao se confunde com as informacoes do registrato do banco centraltanto e que enviei 4 exemplos dela do c6bankpagbank citi e digioe para acessar as informacoes do registrato eu mesmo faco por minha conta e meios a carta de quitacao de debitos nao e um favor nem uma liberalidade que o banco faz e sim uma obrigacao hoje 27042022 de manha estive na caixa setor bancario sul quadra 01blocol e iria ao 11°andar na ouvidoria mas quando la cheguei na recepcao fui informado que nao ha atendimento fisico outra vergonhanas agencias um atendimento moroso para procrastinar situacoes e judiar do cidadao e na ouvidoria ficam escondidos respondendo emails de forma automatica como robos sem me trazer solucao alguma vergonha alehia eu tenho de voces pode encerrar ogao gestor senacon eu vou fazer essa demanda no procondf e aguardar a outra demanda no banco central meu tempo e preciso para perder tempo com os preguicosos e desobedientes da lei da caixa economica federal uma vergonhaum fiascoum farrapo de banco que presta desservicos a populacao principalmente aos humildes que desconhecem as leis do consumidor e nao conhecem ainda esta plataforma consumidorgovbr se ainda sim o banco central e o procondf nao conseguirem me ajudar irei ao tribunal regional federal contra este banco horroroso nao temo ninguem pois quem tem a verdade dorme tranquilo e nao o sono dos preguicosos apostolo paulo ja dizia “quem nao quer trabalhar que nao coma”1” sem mais
5,e pratico de usar porem muitas vezes tenho dificuldade de acesso devido ficar fora do ar quando tento acessar diz que nao foi possivel e manda tentar mais tarde
6,ganhei um novo celular do meu namorado e desinstalei o aplicativo do outro aparelho agora nao consigo ter acesso com esse novo dispositivo
7,pessimo aplicativo a caixa ja deveria estar mergulhada na era digital eu esqueci minha senha liguei para o sac e pediram pra ir a uma agencia fiquei 6 horas na fila e descobri que minha senha tava bloqueada fiz o suposto desbloqueio e ao acessar o aplicativo a senha nao funcionou no aplicativo nao ha opcao alguma para recuperar a senha ou fazer outra senha inadmissivel ter que faltar trabalho para desbloquear uma senha que deveria ser feito pelo proprio aplicativo vcs estao com nota zero horrivel
8,poderia melhorar varias vezes me deixou na mao pois o pix nao funciona ou porque do nada meu acesso por digital desaparece
9,aplicativo esta horrivel nao consigo acessar a dias
