,reviews_classified_all
0,por algum motivo o aplicativo nao esta querendo abrir no meu celular fica mandando eu desbloquear meu celular num lupe infinito nao me dando acesso a minha conta
1,o aplicativo tem muito problema e bug faz um mes ja que tento acessar e nao consigo depois que mudaram a forma de entrar dizendo que e protecao extra e so fez piorar
2,a nubank veio piorando muito esses dias agora voce tem que colocar dinheiro no cartao para poder usar alem de sempre ter que colocar senha para ter acesso que as vezes nao funciona e eu acabo ficando sem acesso ao aplicativo
3,amo usar o nubank e pratico de facil acesso interface linda e todas as informacoes encontro nele para sanar minhas duvidas
4,eu esqueci a minha senha para entrar no nubank
5,desde hoje meu aplicativo entra em uma tela falando pra eu colocar a mesma senha do meu celular eu coloco da certo mas volta pra uma tela perguntando se eu quero usar esda opcao e vira um ciclo eterno numa sai desta tela mesmo eu pondo a senha
6,sugerir ou seria obrigar que a senha do aplicativo seja a mesma do aparelho e ser muito sem nocao pra dizer o minimo
7,toda vez que mudo a senha do celular preciso desinstalar o aplicativo porque comeca a dar erro e nao aceita a senha nova
8,aplicativo acusa erro o tempo todo ao tentar entrar com a senha sendo que a senha ta certa tem que ficar desinslando e instalando para da certo
9,pessimo o aplicativo so deixa voce usar se tiver senha de bloqueio no seu celular o aplicativo deveria ter o proprio bloqueio independente do celular
10,depois da atualizacao nao consigo acessar o aplicativo pede a senha do celular e eu coloco e volta pra mesma pagina pedindo novamente a senha
11,nao estou conseguindo acessar a desgraca da conta toda vez que coloco a senha certa volta pra eu repor a senha de novo
12,aplicativo nao esta abrindo depois de inserida a senha ou digital ocorre algum erro e o aplicativo fecha ou as vezes ate faz discagem para a ultima chamada recebida preciso pagar as contas e agora
13,nao estou conseguindo abrir meu aplicativo pede a senha do celular e ao inves de abrir fica pedindo a senha denovo
14,a exigencia da senha pin para acesso ao aplicativo me obrigou a resetar o celular falei com o nubank e o atendimento na melhor hipotese so nao sabia como resolver meu problema pois pessoalmente acho que me enrolaram preguica do programador em criar um algoritimo simples de cadastro de senha o tal do banco 100 on line nao da suporte sequer de acesso a conta pelo navegador do computador patetico o nubank vai pagar os juros das minhas contas que atrasaram por impossibilidade de acesso ao aplicativo
15,ta ruim demais usar esse aplicativo eu coloco cpf e senha e na hora de colocar a digital ele reconhece mas fica voltando para a tela da digital e nunca entra na pagina da conta cansei
16,gosto muito da nubank mas ultimamente esta dando muito bug no aplicativo vez ou outra ele sai do aplicativo do nada e quando a gente vai entrar pede o cpf e a senha de acesso do aplicativo mas sempre quando a gente insira os dois da invadindo e isso esta muito chato
17,pessimo aplicativo pede uma maldita senha sempre
18,ta tendo alguns problemas na hora de entrar a gente coloca a senha ou a impressao digital e ele carrega e volta do inicio para colocar novamente e fica nesse processo repetitivo
19,estou com problemas na hora do meu primeiro acesso eu faco o cadastro chego o email falando que fui aprovado e manda eu dar continuidade no aplicativo porem o aplicativo nao funciona fica fica na parte de criar um cadastro novo ou fazer login apenas nao tem opcao para abertura de conta
20,esse aplicativo nem presta so pede senha de celular e depois que pede a senha do aplicativo
21,faz alguns dias que nao consigo acessar o aplicativo pede a senha do celular digito e nada ja desistalei muitas vezes e ja cadastrei varias vezes o celular e nada
22,infelizmente nao chega notificacao na tela inicial do meu celular so consigo visualizar algo como por exemplo se recebi um pix ou transferencia se eu entrar no aplicativo com senha ja verifiquei todas as opcoes possiveis fiz troca do aparelho e nada entrei em contato e ate o momento nao conseguiram resolver
23,nao consigo acessar minha conta toda vez que tento o aplicativo fecha sozinho ja desinstalei ja limpei os dados mais nada resolve me ajudem com isso
24,nao consigo mais acessar meu aplicativo
25,eu abaixe a aplicativo fiz o catrasto mais esta demorando para mim responderem por email aida nao mandarao a senha para eu entra no aplicativo
26,bom muito so que eu em entrei no aplicativo mais dezes talei sem querer esquesir a senha
27,eu estou com problemas para abrir o aplicativo quando eu abro pede a senha e uso a digital mas o aplicativo volta no inicio e pede a senha de novo e fica assim o aplicativo nao abre pra usar eu tenho que sair da conta e logar de novo isso e chato e cansativo
28,o aplicativo nao abre ja faz uns meses que eu tento acessar minha conta mas o aplicativo nao abre
29,ruim de acesso continua dificil
30,depois dessa atualizacao o aplicativo ficou a desejar esta muito lento nao abre de maneira nenhuma pede senha pra acessar a mesma de desbloqueio do aparelho coloca e nada nao abre nao sai da tela inicial carrega pede pra repetir a senha e nada estou sendo prejudicado antes era lento mae abria perfeitamente o aplicativo gente ageita isso ta horrivel o acesso se pudesse da zero estrelas eu daria era muito melhor a versao antiga ta ruim o acessome ajudem pretendo acessar o aplicativo
31,estou dano uma estrela porque agente coloca a senha 13 vcs para entrar no aplicativo a senha e correta mais ele pede varias vcs para entrar no aplicativo
32,ja tenho uma conta quero muito recuperar minha senha
33,nao consigo abrir o aplicativo atualizei e nao sai da parte de desbloquear o aplicativo com a senha do celular coloco e volta pra mesma pagina
34,excelente aplicativo de facil acesso
35,eu nao estou conseguindo entrar no aplicativo pela senha
36,nao consigo abrir esse aplicativo porque pede a senha do meu aplicativo e quando coloco a opcao esqueci senha nao nao chega nenhum email o que fazer sobre isso
37,pessoas maravilhosas como vcs me faz mudar de ideia de uma hora pra outravcs e muito eficientes ja estou com o problema solucionadoalmentei minha estrelas pois se tivesse mas daria so o aplicativo que as vezes nao aceita entrarso que entrar com a senha do celulare as vezes nao entra tambemmas sei que vai dar tudo certo obrigada por tudojesus cristo guarde e proteja a todos nos de todo mal🥰 cabo frio14052022 cleide santos de oliveira
38,fica pedindo a senha umas 3 vezes pra depois abrir o aplicativo e olha la voce nao pede mais
39,so queria saber como faco para trocar a senha
40,baixei o aplicativo diz que fui aprovado pedi pra entrar no aplicativo nunca chegou nenhuma senha ai nao consigo entrar o aplicativo
41,com todo respeito mais isso e um aplicativo horrivel eu fiz cinco vezes mesma senha quando vou entrar com minha senha que fiz nao consigo isso so pra colocar nosso documento em risco
42,nao conseguir acesso o aplicativoapenas aparece erro
43,nao consigo acessa o aplicativo a 2 dias aparece uma mensagem pra tentar mais tarde e nada
44,nao estou conseguindo acessar minha conta corrente para nada
45,entao nao vou mas poder ter acesso ao apppor causa dessa maldita alteracao de senhapor eu uso biometriae so entra com a senha patrao que eu nao recordoaff eu to decepcionada e muitoe ninguem resolve o poblema
46,o aplicativo me deixou o dia inteiro sem poder acessar minha conta muitas instabilidades o que traz desconforto para os usuarios
47,estou com bug no aplicativo ele entra no fluxo de validar com a senha do celular mas fica em looper nao consigo acessar o aplicativo
48,nas atualizacoes passadas quando eu iniciava o nubank nao precisava clikar em em desbloquear com a senha pra usar a digital quando entrava ja colocava a digital ja desbloqueava agora tenho que clikar em desbloquear com o pin pra usar a digital ses tao de brincadeira ne nubank
49,o aplicativo e bom mas deveria pedir a senha cadastrada toda vez que entrasse no aplicativo
50,depois da atualizacao esta horrivel diz que estou sem internet e nao deixa eu acertar minha conta quando liberar meu acesso vou trocar de banco pois me prejudicou muito esse erro
51,depois da ultima atualizacao nao consegui mais entrar no aplicativo guando pede pra colocar a senha do desbloqueio do celular pra entrar no aplicativo simplesmente nao entra nem com o suporte que infelizmente nao conseguiu fazer nada o pior e que o meu pagamento vem justamente atraves do nubank lamentavel
52,nao estou conseguindo entrar no aplicativo esta querendo me obrigar a entrar com a senha do meu celular sendo que so uso ele no tablet e fecha sozinho
