,reviews_classified_all
52,otimo porem com algumas inconsistencia no acessar com biometriaestava assim a alguns dias atras agora melhorou
118,ja esta mais do que na hora de criarem tokenou biometria para nao termos que ir nas agencias toda vez que temos algum problema com o aplicativo
124,funciona bem de maneira em geral mas ainda sofre engasgos na validacao por biometria
126,configuramos para senha biometrica e depois do nada pede a senha de numeros muitas vezes ja haviamos esquecido e lento e constantemente fica fora do ar fora isso nao e simplificado e temos que passar por muitas etapas para realizar operacoes simples
144,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
186,nao consigo logar no aplicativo da erro de usuario e senha nao reconhece a biometria
208,precisa melhor a questao da biometria porque constantemente fica saindo e pedindo a senha e poderia aparecer o nome e horario de quem fez um pix no extrato igual os outros bancos aparecem
221,o aplicativo e muito ruim toda hora instavel toda hora da erro de autenticacao biometrica tem que melhorar muito
229,o aplicativo é muito bom e super util facilitando muito a vida da gente o unico problema que me fez nao avaliar com cinco estrelas é o fato da biometria falhar algumas vezes tirando isso nota 10
235,servidor pequeno aplicativo fica estavel com bastante frequencia e as vezes nao reconhece a biometria
244,pode melhor reduzindo a instabilidade principalmente do sistema de biometria
249,o aplicativo apresenta muita instabilidade e constantemente da erro na biometria
253,para que aplicativo usa biometria se nunca funciona
259,precisa melhorar porque da muitoerro na biometria e o leitor nao funciona para pix e pagamentos e e somente esse aplicativo que fica assim em relacao aos outros bancos que eu tenho
265,o aplicativo em si e bom so acho ruim na hora de entrar no aplicativo pela biometria tem que tentar entrar umas quatro vezes ate dar certo
281,muitas das vezes o aplicativo apresenta falhas como por exemplo nao reconhece a biometria e ultimamente sobretudo ha pouco mais de uma semana nao consigo abrir o aplicativo e quando abre nao consigo fazer nada sei que nao adianta reclamar aqui pois ja fiz isso e nada resolveram mas quem sabe tenho sorte desta vez ne
283,completamente instavel problema na biometria tendo que cadastrar o tempo inteiro o aplicativo fica mais tempo fora do ar do que util para usar oq era p ser uma coisa facil vira um pesadelo e deixa os usuarios descontentes e irritados por essa falta de atualizacao e bugs
290,nao deixa entrar nem por biometria nem senha fica dando erro pedindo pra tentar novamente por isso e facil migrar pra qualquer outro banco nao deixa fazer nada
292,sempre tenho poblemas com a biometria e nao tem a opcao de esqueci a senha tenho que desistalar e estalar precisa melhorar
296,vive fora doar biometria nunca funciona e simples de entender caixa nao e banco e caixa
299,aplicativo esta inviavel nao conseguimos fazer login por senha nem por biometria horrivel
