,reviews_classified_all
0,650 a taxa p sacar dinheiro no caixa eletronico isso e um roubo vcs vao tomar o pouco que o povo tem e porque eu nao consigo transferir meu dinheiro p outra conta minha em outro banco
1,roubaram o celular da minha namorada e mesmo tendo senha no aplicativo da nubank eles conseguiram acessar a conta o que pra mim e falha na seguranca e pegaram o dinheiro na conta dela e o suporte da nubank informou que nao podiam resolver essa situacao sendo que deveria ter uma seguranca num aplicativo tao grande eu irei retirar tudo o que coloquei na conta pois agora tenho medo ja que tenho bem mais dinheiro guardado de acontecer o mesmo comigo uma pena pois eu sempre admirei a nubank
2,lucaslionn gatoblueee ingridsilva nubank amigo fraude bancaria e clonagem invasao hacker eu juro confia em mim eu atuo na area o que ela passou nao foi fraude bancaria foi golpe tipo quando ligam pra uma pessoa chorando que foi sequestrada a pessoa vai la e transfere o din do resgate pois e
3,ingridsilva nubank voce acessou sua conta fez um pix pra outra pessoa e espera que o nubank simplesmente estorne pra voce o valor nao e assim que funciona infelizmente nao foi um caso de clonagemroubo acho que faltou atencao da sua parte viu com tantos casos de golpe e importante verificar
4,um monte de gente relatando casos de fraude usando nubank e o nubank vai e lanca uma funcionalidade dessas usando aproximacao e design centrado na pessoa usuaria que se chama ne ironia httpstcovrvd4yv3bl
5,roubaram o celular de minha filha numa festa ela ligou no dia seguinte para o nubank para avisar e evitar fraude 2 dias depois fizeram 2 compras por aproximacao no total de 70000 e o banco nao quer estornar os valores
6,promocao do nubank a maior fraude da historia
7,pra mim esta claro que a nubank apoia a pratica de estelionato e fraude no brasil
8,simplesmente surreal nubank nao carrega transacoes nao mostra extrato atrasa saldo acabei de ser vitima de uma fraude e nem consigo fazer um bo porque nao mostram meu extrato
9,meu aplicativo do nubank nao quer entrar automaticamente ja entrei em desespero com o tanto de relato que tem de fraude
10,ja cheguei a gostar muito do nubank mas o sistema de seguranca deles esta preocupante novamente meu cartao virtual foi utilizado num site desconhecido numa compra maior dessa vez ja troquei de cartao umas 4 vzs por isso nubank clonagemdecartao fraude
11,gente aconteceu comigo o fraude do cartao nubank veio ai e com meu cartao virtual fiquem atentos so vi agora porque desativo as notificacoes do celular e to tentando resolver tudo fica o alerta
12,hey itau minha mae de 73 anos foi fraudada e fez alguns pix indevidos para nubank infelizmente nao conseguimos falar com voces ainda bem que o nubank nos atendeu prontamente espero consigam interceptar a fraude
13,parabens nubank em menos de um mes que o novo cartao chegou houve tentativa de fraude novamente vcs vao cancelar este cartao enquanto vcs nao revisarem seus processos de seguranca este tipo de aborrecimento continuara acontecendo nubank fraude
14,nubank vai me dar outro cartao e eu nem pedi fui perguntar e disseram que por causa de tentativas de compras e o sistema identificou como possivel fraude mas eu nao uso o cartao ha 4 meses
15,mds vao quere bloquea meu cartao por suspeita de fraude justo quando quero compra meu ing do trap festival nao posso abrir minha mao que o nubank ja acha que e fraude 🤡
16,chocado com esse monte de relatos de fraude envolvendo o nubank a sorte e que nao estou movimentando minha conta
17,uma dica de seguranca pra evitar a fraude do nubank e aprender japones e deixar todos os aplicativos em japones a maior parte dos ladroes nao sabem japones entao vai ter dificuldades de operar seu celular
18,considerando que o brasileiro e asqueroso em todo e qualquer aspecto de conduta e carater esse role ai de fraude no nubank vai ser usado pra tirar vantagem pois somos assim chipanzes
19,minha primeira fraude no cartao aconteceu e foi logo no da nubank recomendam eu mudar p outro
20,minha gente venho humildemente pela ultima vezpelo amor de deus facam um pix de qualquer valor estou procurando empregoe se nao cai em um golpe com dinheiro que tinha fim do mes to trabalhando 78458986000nubank httpstcolvu84hfi7h
21,os apps de bancos sao ridiculamente inseguros que e pra facilitar o acesso quanto mais simplificado o acesso mais a probabilidade de voce utilizar servicos do bancos se der algum bo voce for roubado ou cair em algum golpe o problema e seu nubank bancointer itau santanderbr
22,e eu que desativei o toutch id e fiquei so cm a senha numerica por medo do golpe do nubank dai quebrei meu celular e nao consigo mais por um numero da senha numerica e to sem toutch pra conseguir desbloquear o celular 🤡🤡🤡
23,pra quem nao ta ligado como e golpe do pix fica aqui o aviso voce transfere um dos valores abaixo pra chave pix ce459992517d40bda9c9e9f987652964 espera 5 minutos pra receber o valor correspondente na sua conta nao recebe e faz uma thread xingando o nubank testem agora httpstcojlcsnp8g1y
24,“cai num golpe nubank devolve meu dinheiro” ai gente as vezes voces forcam tambem ne kkkkkkkkkkkk minha nossa senhora
25,eu posso estar na paranoia do golpe do nubank mas tenho certeza que os caras do meu lado acabaram de roubar um celular e tao tentando acessar os aplicativo de banco tudo
26,o do cara que teve o celular roubado e os dados violados sem nenhuma explicacao tem sentido cobrar o nubank um respaldo agora a menina caiu no golpe do zapzipzop e quer ter o estorno de um pix que ela fez digitando a senha dela
27,esses relatos de nubank golpe do pix daqui a pouco o nubank vai fazer um teste de qi pra pessoa poder acessar a propria conta
28,botei o bloqueio de aplicativo na xiaomi espero nao cair no golpe do nubank
29,eu achei que nunca teria de fazer esse alerta mas ca estou eu cai em um golpe bancario gastei todo o dinheiro que havia na minha conta e o banco nao repos nadinha pior que os criminosos nem tiveram acesso ao meu smartphone me ajuda nubank bebe santander bradesco caixa itau
30,o nubank nao resolve fraudes mas basta um esperto que esta completamente errado dizer que caiu em um golpe para que eles congelem seu saldo eu em outra cidade sem poder resolver o pepino agora sem um real no bolso e com meu saldo congelado
31,semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a minha senha do celular e o aniversario do meu cachorro fido que nasceu em 30 de fevereiro e
32,duvida sobre roubo de celular e desvio de dinheiro via pix apesar do limite alto nao precisa de senha pra isso no nubank precisa de senha pra qualquer transacao via pix pagamento transferencia etc
33,he nubank bandidos fazendo a festa com roubo de celulares e o aplicativo de voces so deixa logar com biometria ou passcode se o malandro pede tem a senha do celular ele rouba toda a minha grana no aplicativo sabia vamos melhorar essa seguranca ai urgente por favor
34,aloadt sobre a thread do nubank geralmente no ato roubo o ladrao pede a senha inclusive destrava na hora pra confirmar passei por isso
35,nubank e seguranca contra golpe e roubo de senha vai ter quando
36,genocidebrazil rogerlirx gatoblueee ingridsilva nubank passa por analise bancaria a nao ser que seja uma falha do baco entao ocorre sim a devolucao mas em caso de roubo fraude e de responsabilidade do cliente em manter esses dados seguros
37,eu acho a seguranca do banco do brasil muito boa nao sei em relacao a golpes e essas coisas como eles atendem mas eu nao tiraria meu dinheiro de la pra por no nubank o empresarial deles precisa de varias etapas com senha e qr code pra poder fazer transferencias
38,utilidade publica pra quem tem o roxinho dica de seguranca caso perca o celular ou seja roubado acesse gt httpstcovp8snolayk e clique em login digite seu cpf e sua senha senha pra entrar no aplicativo nao e a senha do cartao a carregar essa tela clique em “estou sem cel” httpstcosgyqeqwzrt
39,ao meu ver existe uma falha extremamente grave de seguranca temos visto diversos casos de roubos de celular que geram uma dor de cabeca enorme aos usuarios no caso a recomendacao que vi frequentemente foi trocar para um email que nao tem vinculo com o celular o problema e que o nubank permite a alteracao do email no aplicativo sem nenhum tipo de validacao estou perdendo a confianca e pensando seriamente em trocar de banco da forma atual a pessoa com acesso ao aplicativo poderia colocar qualquer email na conta outra questao e a falta de posicionamento e orientacoes para evitar problemas
40,o uso do face id ou codigo de desbloqueio do aparelho nao torna uma camada tao segura uma vez que em um eventual roubo o criminoso pode pedir a senha ou desbloquear o aplicativo pelo reconhecimento do nosso rosto por gentileza adicione uma camada seguranca com senha que nao esteja vinculada ao dispositivo obrigado
41,porque nao fazem a opcao de mais de uma conta por aparelho todos bancos possuem isso as vezes estamos sem acesso ao nosso celular por esquecer perda roubo ou precisamos ajudar pessoas minha mae que nao sabe mexer no aplicativo mas utiliza o cartao e mora longe e fico sem conseguir ajudar ai este mes vai ter que pagar a conta em atraso porque nao consegui ir la para imprimir o boleto
42,eu gostaria que o aplicativo tivesse a possibilidade de configurar uma senha propria para abrir assim estariamos seguros num caso de roubo do celular so existe a possibilidade de usar a mesma senha de desbloqueio do celular
43,existe um numero significativo de usuarios que sao vitimas de fraude por conta da falta da seguranca digital do aplicativo de que adianta ter uma plataforma que facilita a vida do usuario se tambem facilita para o bandido e nao se responsabilizam
